government,last_name,first_name,title,district,first_elected,next_election,url, ,phone,street_address,street_address_cont,city,state,zip,email,twitter,facebook,description-notes
City of Chattanooga,Berke,Andy,Mayor,,2013,2017,http://www.chattanooga.gov/mayors-office, ,(423) 643-7800,101 E. 11th St.,,Chattanooga,TN,37402,mayor@chattanooga.gov,@andyberke,,
City of Chattanooga,Henderson,Chip,"City Council Member, District 1",1,2013,2017,http://www.chattanooga.gov/city-council/council-members/chip-henderson-district-1, ,(423) 643-7186,1000 Lindsay St.,,Chattanooga,TN,37402,henderson_chip@chattanooga.gov,,,
City of Chattanooga,Mitchell,Jerry,"City Council Member, District 2",2,2013,2017,http://www.chattanooga.gov/city-council/council-members/jerry-mitchell-district-2, ,(423) 643-7187,1000 Lindsay St.,,Chattanooga,TN,37402,mitchell_jerry@chattanooga.gov,@Jerrymitchell02,,
City of Chattanooga,Smith,Ken,"City Council Member, District 3",3,2013,2017,http://www.chattanooga.gov/city-council/council-members/ken-smith-district-3, ,(423) 521-0238,1000 Lindsay St.,,Chattanooga,TN,37402,smith_ken@chattanooga.gov,@kenrsmith,,
City of Chattanooga,Grohn,Larry,"City Council Member, District 4",4,2013,2017,http://www.chattanooga.gov/city-council/council-members/larry-grohn-district-4, ,(423) 643-7184,1000 Lindsay St.,,Chattanooga,TN,37402,grohn_larry@chattanooga.gov,@larrygrohn,,
City of Chattanooga,Gilbert,Russell,"City Council Member, District 5",5,2008,2017,http://www.chattanooga.gov/city-council/council-members/russell-gilbert-district-5, ,(423) 643-7183,1000 Lindsay St.,,Chattanooga,TN,37402,gilbert_r@chattanooga.gov,,,
City of Chattanooga,Berz,Carol,"City Council Member, District 6",6,2008,2017,http://www.chattanooga.gov/city-council/council-members/carol-b-berz-district-6, ,(423) 643-7181,1000 Lindsay St.,,Chattanooga,TN,37402,berz_c@chattanooga.gov,,,
City of Chattanooga,Anderson,Chris,"City Council Member, District 7",7,2013,2017,http://www.chattanooga.gov/city-council/council-members/chris-anderson-district-7, ,(423) 643-7180,1000 Lindsay St.,,Chattanooga,TN,37402,anderson_c@chattanooga.gov,@chrismanderson,,
City of Chattanooga,Freeman,Moses,"City Council Member, District 8",8,2013,2017,http://www.chattanooga.gov/city-council/council-members/moses-freeman-district-8, ,(423) 643-7182,1000 Lindsay St.,,Chattanooga,TN,37402,freeman_m@chattanooga.gov,@Freeease1,,
City of Chattanooga,Hakeem,Yusuf,"City Council Member, District 9",9,2013,2017,http://www.chattanooga.gov/city-council/council-members/yusuf-hakeem-district-9, ,(423) 643-7185,1000 Lindsay St.,,Chattanooga,TN,37402,hakeem_y@chattanooga.gov,,,
City of Chattanooga,Bean,Russell,"City Judge, Division II",,2014,2022,http://www.chattanooga.gov/city-court/city-judges/judge-bean, ,(423) 425-6311,600 Market Street,Room 104,Chattanooga,TN,37402,,,,
City of Chattanooga,Paty,Sherry,"City Judge, Division I",,2014,2022,http://www.chattanooga.gov/city-court/city-judges/judge-paty, ,(423) 425-6311,600 Market Street,Room 104,Chattanooga,TN,37402,,,,
